instance,n,m,chains,best_cut,hits_at_best,best_chain,best_t0,kernel_s,wall_s,t0s,seeds,phases,iters
G60,7000,17148,80,14187,4,31,400.0,9592.0690,9592.5592,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","1477584604,1019696642,327852413,2047632083,1469378976,3084966134,1989351569,3062861856,1846394943,3998124504,1327477935,3338405315,3781547397,762953180,3388919222,3796374740,2287331829,1116418965,3824239770,3935270497,3913635046,4209305968,1146553327,3238699079,2588953201,178120632,3559588420,397265094,3047477422,948777216,3204655706,1997187441,3152105458,34563108,3957964888,823437010,3920794579,338055501,3196330824,2391378184,2199791206,3141839662,3341629619,3510913027,3049646300,3698656596,897534019,1011461831,1713634499,3275759844,1639135214,1713254279,957459214,283609298,3210389720,2990911681,4025386108,460315468,4196248180,1853893841,1146579790,77606854,2518060167,2433658161,222243519,4158052857,899318774,834830293,1240562774,4171660044,3749827371,3146139888,390198257,201756386,3560532523,105198518,1091303982,493763350,3395158947,356118393","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G61,7000,17148,80,5797,2,26,70.0,9573.1080,9573.6623,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","3614529470,3520941030,930464476,478423898,1423997095,247901250,2765664191,2713230369,3512944182,4191503951,3345336079,3367535316,3306788735,3631905109,3386884189,1952664517,1588560218,2254320432,2150322704,3027785766,2617555849,2125568850,3066284164,661766957,1415331453,1639778167,1912973865,3084267002,582902060,3683811559,1549579070,3694491618,3906738029,672991487,2595539133,445478558,1454872495,477420674,3469426590,1613491751,279161321,3255092748,1362498266,1454645796,3114716057,3003232083,4243979450,3087968116,3003461561,3960333069,364293418,3810571006,3256756348,1668096292,1128394543,3544000277,3197983768,2191094955,2360351096,2815228326,1213002439,1068716076,167568912,1865593784,1021167832,510333936,1565736324,2978049449,1824670157,3854923306,3645928744,1005156968,4274723240,4274479669,2045534718,1368336930,1323453727,3648753081,2899497979,3677031335","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G62,7000,14000,80,4864,1,15,400.0,8803.7680,8804.3055,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","3939855132,3738192298,390629568,2675300118,3127101088,261038285,287677474,1866832029,1947405590,919800761,2909695661,2628017195,2837181840,2251994035,1064126597,4269996626,2329523515,836599296,2330086157,1789517519,3373134826,2439966129,2233570194,1087339418,3717323001,906983133,4240619532,3430008183,3231075338,185647867,2654604542,2283392441,127418795,2629821401,755977976,3324057284,2239568206,2096987182,2167928076,1665429582,2109096515,3391021777,2368008960,185192106,2928659182,3235422319,1691813363,2506345549,4249300558,1091551864,2492836284,125932170,3738559397,4272951413,3561100298,2983027223,852166204,2464922589,449926495,794222908,4217952957,3274354661,3508017048,3331992230,3767445280,127045022,2823068263,1035982499,2025057529,1958151583,2586677915,482441613,3144458744,91322366,1727233312,1135758865,3382305639,3459903821,3952270751,1587759106","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G63,7000,41459,80,27041,1,17,50.0,10000.1130,10000.6771,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","2843884648,766500062,233079342,3518234152,4015088057,280177043,3097953148,2813846251,737028843,2246084158,1238970974,559121689,1887523587,1262979909,1245710254,4193885715,1913192777,3510342870,4275380137,1284049488,1839548448,1879754568,1039319437,3387665386,239292006,3331467210,2250512469,316131046,1913490615,3155965115,833804067,285834351,649357444,2302937482,2947734039,541861384,3631005071,4204274878,783657947,3469754676,2202294967,413193591,469306112,1282435527,3155000693,1300016733,3025990309,1938700906,3400929883,1307288578,3559905697,1242410023,280824001,72912290,3956131870,503207215,1336158616,409288827,3308178598,2630331137,433976498,4220166590,1176281986,4102391967,47022195,1281882167,488530100,4184973531,538869230,815853419,3026369450,3489986412,2837549674,3615658508,3151970885,204255744,3894173299,3150108260,2821399096,390127040","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G64,7000,41459,80,8747,1,40,35.0,10025.6130,10026.1572,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","4025091318,1990912215,3833757347,1218327268,1287943355,2117865874,2762157974,2612239303,1883729036,743730882,4218818618,2745387944,1171649456,3322830551,2587247505,856868088,1923502490,2614454427,3205882734,3481644838,153611009,1273082566,4033926436,1216240270,451858165,3275888014,1805846494,2989695853,1513940519,3473263073,1050234673,1284605469,2625866835,1883917249,1494990111,1462572866,3152222269,668401791,2057003030,3269102870,900764044,3276694793,2945067024,1524656213,1944038169,3687707605,2228681720,2786111942,3602021376,1901942836,2390768335,1689086790,2665396056,918858464,1849053848,3717349945,1165883747,4225019394,1892877809,4204714539,1381454922,3929707056,749165444,3969294249,2218712132,1109409074,3655055479,2838414714,2404636121,776837514,135147257,1012558951,3329000824,1865359038,150449337,3922780270,4098073566,1443343253,2822523453,409027147","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G65,8000,16000,80,5550,2,6,280.0,9050.7260,9051.2153,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","4111540303,730090628,3502373073,3571896468,385580971,3714889467,2494125931,674061153,3832931201,1994407386,3954679641,829809174,3415760104,3316596515,365257085,3196005861,3527946014,1989487221,3990946340,2093892973,1866730750,2755410522,289828426,1100557644,250752268,1404947468,1331349029,3514352323,1626285318,192180161,468769420,301345574,551256592,724194821,1481440507,3718752828,48108460,3455849000,1704369235,1970334637,1798262818,3579195146,2420864039,1755732692,3991742255,1216588927,1447692876,929179421,364374735,1316817736,660610248,4118619172,1897465759,1215664107,944418398,1118104512,3442700700,66497702,879221270,3462613937,171548301,219139268,3182216965,1177153389,1070123441,3073705090,1040217385,1054726563,4122458389,115255848,4253048195,2062894483,152656785,2298279305,3285708921,1762552334,617549265,530483993,1841153073,3215884671","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G66,9000,18000,80,6358,1,15,400.0,9742.2460,9742.7291,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","445954022,1052429820,925189965,1062461392,1083558093,3403545232,3424190769,472365005,2871860864,1520029030,963459912,1518703894,1326124484,2441307497,3340239307,2999385289,560883960,2290204797,1513586194,4027208003,4212795780,1558589916,2623320234,3014107301,1093102790,1962208168,894658466,1081399641,2360630091,2712779739,3747926572,4292058068,3179064975,483516693,1492454482,4001763311,529715075,76023427,3054227563,3650471680,221071220,2816916058,3343028749,2190200158,1028454723,1210764117,1767603941,1950015790,3732095960,2672556749,2179330273,122304610,3128176067,3695068280,160461527,3696769907,3892776101,1752930309,4049692699,1241226064,977725797,3004601393,3291060221,205505039,2837331750,658534485,3893785318,1442672390,287351956,1743379713,4204374954,2753416632,1518801620,592353651,2012716275,3191919384,2174354853,3339576995,562468497,2673736765","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G67,10000,20000,80,6938,1,52,140.0,9944.0780,9944.5860,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","3072958204,974096990,779135357,4061936452,1783895626,4287073749,1883631308,1564322831,4249983267,3061048160,1382604163,3705400864,1403547931,1555685280,1695741944,1680957246,3833384200,3601837875,3983983968,2219038862,57790620,757758365,1402621058,1257849338,3971955843,819353318,335310339,181934214,3398946642,189461384,1626673038,1879829575,1409028689,1999755908,3315354881,1145311833,3203144005,3698541579,2286577229,1527643832,150068530,2129266173,447597742,379385114,1352502616,492439360,3367120167,536926865,3948843959,231215068,2049065400,3415402341,2669513235,771331070,322995509,3588990103,264183434,658365081,4076102857,4042615231,1637435325,1932284231,128436855,2457816138,3332058533,3673845214,3067246818,2819242665,676924683,4076646734,989875176,1639772429,873764538,3707382967,1925884745,1263943411,787008535,4109280231,2748124066,3501552686","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G70,10000,9999,80,9593,17,2,70.0,9700.7330,9701.1836,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","3354036648,214179731,824190571,3628652620,3236890045,217651408,1731942306,900870539,3519307959,3369435076,2919899237,1489738457,3657934375,2631597529,4003027078,276931945,4024432990,1373773055,4002098539,2722827897,3646125424,3774192552,2352207157,1123292755,1541268003,2169557909,913483295,1828762002,289361650,4140335969,628052184,3608467121,502174224,1075475524,166200595,3073839674,1520107811,480848087,1303781097,1644981132,1470351018,2985141279,2748904420,4152596624,1476741179,2915739291,1585927240,243230905,3616898304,3609068114,946155874,2148475783,1058020021,116508820,2290018186,145526447,2114533446,1278869055,313082057,950614455,3810729915,848014648,4213352628,2272386188,1222155274,4004971084,3658061691,3934543481,2826115245,1600222684,959445402,10593712,707341017,2722830738,3745049849,3497214008,4039902453,295624633,1223287584,4110891793","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G72,10000,20000,80,6992,4,23,400.0,9991.0020,9991.5217,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","4012573229,3655677116,124959931,913446688,1690862938,3282401516,2397791425,455091602,1031445901,51716677,2805610649,1342857511,1483876131,3664711071,62526553,1709589894,1020850043,1092007722,3778479500,1537964700,4104110904,2312967377,581063583,2564544244,1712681962,1542002132,451942243,3189615326,362420372,2670550504,2248752333,514350830,829697546,2883467181,2466005820,737725629,1579867961,3149246513,379005471,3673552944,1078021929,3724034076,2413281906,2467421882,1863449079,1979264715,1878304930,3388218425,1791021571,3283899285,450664654,4247205380,698700058,3589374285,805512018,3096812464,3901482446,367772040,16286915,2955266053,3261834420,3416493273,3461024872,357127252,4101899116,2146718529,3610584243,3543866131,3345079468,3790018101,243309122,2352884472,1556108785,3898840722,2602155525,2492979929,2104865464,3638585699,1995935955,2218531972","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
