# full-Gset benchmark
# invocation: ./scripts/bench_large_gset.sh --step 10000000
# date:      2026-07-29T20:29:09-04:00
# gpu:       Tesla V100-PCIE-16GB (driver 575.57.08)
# outdir:    results/full_gset_20260729_202909
#
# chains:              80  (8 temperatures x 10 replicas)
# sweeps per chain:    80000000  (10000000 x 8 phases)
# chain-sweeps/graph:  6400000000
# instances:           12
#
# --seeds  0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
# --t0s    35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0
# --phases 128,64,32,16,8,4,2,1
# --iters  10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
#
# kernel_s is the binary's time-sec: the cudaEvent bracket around the single
# kernel launch, i.e. first-kernel-start to last-kernel-end.  wall_s is the
# whole process, including graph load, H2D and D2H.
#
instance       n        m   best-cut    hits   best-t0    kernel_s     wall_s  status
G60         7000    17148      14187    1/80      50.0    963.2440   963.7804  OK
G61         7000    17148       5795    1/80     400.0    965.3159   965.8162  OK
G62         7000    14000       4858    5/80     280.0    878.9676   879.4418  OK
G63         7000    41459      27033    1/80      70.0   1008.2564  1008.8014  OK
G64         7000    41459       8738    1/80     140.0   1007.3096  1007.8628  OK
G65         8000    16000       5546    1/80     140.0    907.2893   907.7702  OK
G66         9000    18000       6346    2/80     140.0    981.8692   982.3585  OK
G67        10000    20000       6928    2/80      35.0    998.1675   998.6927  OK
G70        10000     9999       9591    3/80     400.0    971.7539   972.2593  OK
G72        10000    20000       6982    3/80     400.0    999.0426   999.5460  OK
G77        14000    28000       9902    1/80     140.0   1097.4497  1098.0027  OK
G81        20000    40000      14006    2/80      50.0   1314.9558  1315.5768  OK

# instances: 12   ok: 12   failed: 0
# total wall: 12100.5s
# csv:   results/full_gset_20260729_202909/results.csv
# repro: results/full_gset_20260729_202909/reproduce.sh  (re-runs every instance with the seeds it drew)
# logs:  results/full_gset_20260729_202909/logs/  (full stdout incl. partitions, and stderr)
