# full-Gset benchmark
# invocation: ./scripts/bench_large_gset.sh --step 100000000
# date:      2026-07-29T15:44:21+00:00
# gpu:       Tesla V100-SXM2-16GB (driver 580.173.02)
# outdir:    results/full_gset_20260729_154420
#
# chains:              80  (8 temperatures x 10 replicas)
# sweeps per chain:    800000000  (100000000 x 8 phases)
# chain-sweeps/graph:  64000000000
# instances:           12
#
# --seeds  0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
# --t0s    35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0
# --phases 128,64,32,16,8,4,2,1
# --iters  100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000
#
# kernel_s is the binary's time-sec: the cudaEvent bracket around the single
# kernel launch, i.e. first-kernel-start to last-kernel-end.  wall_s is the
# whole process, including graph load, H2D and D2H.
#
instance       n        m   best-cut    hits   best-t0    kernel_s     wall_s  status
G60         7000    17148      14187    2/80     200.0   8647.3710  8648.4894  OK
G61         7000    17148       5797    1/80     140.0   8655.4630  8656.6427  OK
G62         7000    14000       4866    1/80      70.0   7900.7290  7901.8441  OK
G63         7000    41459      27047    1/80     200.0   9043.5280  9044.7177  OK
G64         7000    41459       8745    2/80     280.0   9016.0750  9017.2580  OK
G65         8000    16000       5554    2/80      70.0   8119.8665  8120.9756  OK
G66         9000    18000       6356    1/80     100.0   8823.9690  8825.0989  OK
G67        10000    20000       6934    2/80     280.0   9010.7960  9011.9686  OK
G70        10000     9999       9593   11/80      35.0   8756.1180  8757.2395  OK
G72        10000    20000       6994    1/80     280.0   9027.3130  9028.4533  OK
G77        14000    28000       9914    3/80      35.0   9899.7490  9900.9491  OK
G81        20000    40000      14028    1/80     280.0  12016.1000 12017.3682  OK

# instances: 12   ok: 12   failed: 0
# total wall: 108931.4s
# csv:   results/full_gset_20260729_154420/results.csv
# repro: results/full_gset_20260729_154420/reproduce.sh  (re-runs every instance with the seeds it drew)
# logs:  results/full_gset_20260729_154420/logs/  (full stdout incl. partitions, and stderr)
