instance,n,m,chains,best_cut,hits_at_best,best_chain,best_t0,kernel_s,wall_s,t0s,seeds,phases,iters
G60,7000,17148,80,14187,2,45,200.0,8647.3710,8648.4894,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","3940035381,587234098,1698891932,904414745,1826021800,3550331689,2838799297,1748109527,2765832629,2308951299,3090387530,2170380841,980317366,3962190908,4272015495,1945082328,3604249438,4061871137,2584330568,3477921097,4206977838,468731791,34130117,2723075728,283792404,1690528819,3236746023,2733559144,4013105579,1710323612,938953050,3176877363,230075829,2266664472,2961021558,975314312,413598237,1725270550,3102507176,3019683084,1337992913,3096592145,2161058108,1630873458,3736041825,641589190,377774141,155130335,3557307288,2802305280,2659141874,175024169,3713104475,1503076100,1638589538,3761547860,3859241032,526136435,509227431,3145081618,2994293717,3506082527,3941015588,3360918675,1980812169,1144290712,1098642406,1342600585,4286563093,1146014855,2073431402,3429313617,4129935174,3397378207,3118484981,1793268458,3678122388,2247614476,4103965752,1038491541","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G61,7000,17148,80,5797,1,76,140.0,8655.4630,8656.6427,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","913164029,2223502808,2913140501,3494355629,799337220,1872572216,1903824764,2331219964,1864952932,2324048949,3007534336,886198312,4059103220,1959154128,3707827243,3685813617,3546603676,992298229,2112411933,404425157,3095013727,244340677,2261203016,888389100,3863010933,2677370998,3103634145,2169674262,640855017,212873085,3353732495,1161780826,3780774070,1442852085,2270917840,3927886736,3591379454,1828390000,3787518773,2987319416,1212008438,1181879989,4188798524,754315463,3430232399,959831431,1243193859,1558932001,3963418277,173867445,2318928214,1886760799,359233846,888733909,2971186445,174729610,1588101994,3997456478,396402953,2956386057,748181060,2706849141,3132187205,1586400966,1511103625,2192209117,76418128,1711121887,2926557048,1679028446,24125285,998793357,2476660698,2702583476,2223035105,333543762,895266628,2032837212,2063828297,2018745059","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G62,7000,14000,80,4866,1,26,70.0,7900.7290,7901.8441,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","2183097175,1387301257,1001959636,1781173450,2796819256,995927918,1965589176,1205638365,3148838566,2651168722,2474171384,1750513217,3929503245,1641932821,3550110058,3280965921,2093387139,716858916,2289371099,3728923870,2926603134,2377686531,3164394280,1423451030,414993559,732887216,1779834139,4231623759,3986135466,3654214915,279628729,3876327822,107639617,3614440706,1489876878,3842452550,1916219282,3405498968,3018063349,1277172978,3344883622,3250185823,2435911021,2951409021,2264876877,3631175187,3035635296,1237974945,810157662,462536462,961567828,1221116067,2992375274,3450694636,2573039016,3930843323,133663725,2428600941,4167315833,769232224,1689070565,609613461,4081745065,1612590772,3985332573,647892497,991098256,4148668217,2333017786,553873906,3396698264,2011578104,2725863665,1334478728,1865722926,2329921044,1521904974,3605277830,417129904,1210685984","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G63,7000,41459,80,27047,1,61,200.0,9043.5280,9044.7177,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","3587026887,324370847,2697848760,626250548,794655176,3015447298,3383973569,3650895392,4146696436,565034241,2786380836,776920213,1780241840,4263908846,1373245850,690226170,2988995070,929300422,3465540724,2301954677,2978683642,437612118,2494448255,1552406714,490231482,4084073735,1565006252,3835104397,1329609513,1959632672,2620568050,3227940781,1477673471,524366736,4107415425,2762864079,2701375933,122783759,1718925056,3834905506,1130055323,46748898,631973242,975598544,3458390164,254158798,2638183357,1277256124,1340087616,2786187897,126236426,644062623,2090819463,3046282031,1160425173,1811549809,1684987637,3702473610,882604162,27268166,3327479836,3481600495,3504643569,3123791939,2554997547,3638385559,477337900,2135605784,3135879607,2922079974,2324019969,1583584882,3445279492,4276410797,1440746455,2882935836,1738962469,1964485292,1179131589,197649221","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G64,7000,41459,80,8745,2,46,280.0,9016.0750,9017.2580,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","2327386043,1386272192,4163100409,2175836450,421919774,3468449766,2420279352,1794877830,1595757100,3106118847,3706801687,3719537723,2419542376,1253389300,1372915198,3441439958,134583289,1747372278,701773657,1018860739,1271721390,211231954,2593907456,1848497999,2619776868,3350037751,1802265998,2687221831,2561002575,12652481,2409765151,808756201,3373697965,1467909125,504246764,2586445623,490821466,1088404732,1047274069,2492850050,1833755061,1600894045,153952572,2045279370,1545348600,3149648951,1471026919,4003994413,339357083,2732002454,1797067648,3586004137,424195211,281573314,743511243,4044295981,2694062484,2715105023,1215124118,3965660199,163633240,3952366174,2161521265,4171719076,903519001,2929425775,2905549340,1715018905,2004704756,2488149585,3531425590,4276294878,1146515731,1781273561,1075297297,2654983858,1134376284,882856250,4251364335,1877232100","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G65,8000,16000,80,5554,2,2,70.0,8119.8665,8120.9756,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","834650377,3963918518,1111411162,2813097512,2386301409,3221425937,190630444,1467626886,2607922367,1234376718,4037894623,461559359,4107726711,1928315528,3865019332,2552391814,563602671,3584924848,3131834025,3019032874,779861054,4101407885,266238736,1247693635,3640879263,3993389566,3386475868,4238543446,3197908627,1646362719,2766273838,3480719838,2694708367,2507249275,845558451,4067798710,1351546684,2532860869,860745387,36901356,3608489615,441084527,2498616175,3819729898,3063725038,3065589059,1951671384,2070522676,287799212,2475978789,3560825315,4097528739,1719717208,2698155681,1875130255,3794573960,3405816213,2059374142,3730001967,2495092817,2011948643,3479486706,2526625828,478220466,3563212295,3088021722,189389760,988796565,725752109,921939619,3103389460,927946491,2130549206,2739194641,351887472,833527408,1125556940,699720714,3286780224,4243515143","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G66,9000,18000,80,6356,1,51,100.0,8823.9690,8825.0989,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","614054630,3511799294,3797921149,692479902,929814276,3866287588,465246697,747061251,1635091682,3409961804,3629892243,1447937159,689690247,1579824369,4054880147,4086366698,216906615,1526059287,2637854086,2099903529,1592757166,988886318,2632484063,1535090365,3906864201,183331308,3919776355,2341677695,3253896317,2830145196,2294500670,3538359835,2850719644,222592822,3457580616,4053339613,1971748379,3611951240,522681433,2839533313,2604071699,1402460075,847996434,2543074869,4011566923,1937002132,2632544793,2957792127,2051009140,4291254367,2906913266,2780541727,1578560969,3630222352,2562866946,2551178225,1172074590,1793834390,96110246,3238933221,2279922677,660674523,3307606142,3114756506,3660687787,1544389537,4010888602,3825949951,3970462780,299007144,1509632427,2542964210,331692407,1961609743,2160680983,23583398,1121125605,2380788811,1964118451,838799279","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G67,10000,20000,80,6934,2,6,280.0,9010.7960,9011.9686,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","521802710,1490790298,3825442853,466502129,349961354,1551479863,1240900664,473217289,3422702297,2613090204,729999423,2133040741,2409416841,3079297867,2220767828,3880137602,2953838862,1969123904,4117846461,1791315607,1843608911,911706189,2487494273,2003121596,122760692,2098194829,1127761447,3788398212,4145062007,1972410662,4075206074,3343354024,3458634764,2673654044,1030251867,2808507402,3170969326,2318626642,3172034437,1278500426,2603698685,3101381787,1819937684,2536100313,3720221638,3847117593,2333674465,2434273224,2976231312,3621707907,3186880918,2962901186,3221375527,3674962130,4090822504,2850018158,2340391946,4126125110,1214823202,3292484311,50962189,2846028106,744532119,1868696804,3697182269,3578157135,835682105,3168376759,597730447,3839876220,3231563422,2310177799,565293367,1897132242,723624972,3405722288,394849594,2349071836,2556254102,2747652048","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G70,10000,9999,80,9593,11,8,35.0,8756.1180,8757.2395,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","83103859,1444077081,913353076,4255313815,1656332117,2709643946,4132839962,2835001042,1598241014,1227462011,2190973776,472138450,1957378605,3868184349,3043857990,4103924539,1980171893,2533551442,1188317632,527465887,2136211905,67396665,1503232624,3407514627,2592310131,3300797277,3002940192,3028319364,2494435324,3890025619,182915647,3935145963,792946266,270272022,2305638363,2121929363,174566766,767569693,2593003445,3412300031,2542236213,1589082141,1684577217,649059780,244165918,1746710852,2159393268,3213204092,3934125259,2734562869,4264278699,1006846984,3711011384,644041655,3406909862,149355654,7347527,3152709115,3422820917,2558358590,4144113584,2607476369,1418346289,694490899,3195002538,3122294098,3353025560,3791421300,4137396472,2810886577,78898842,960029736,2155421714,762021403,551106551,2585458688,53707071,901448054,2792509921,2733311895","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
G72,10000,20000,80,6994,1,70,280.0,9027.3130,9028.4533,"35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0,35.0,50.0,70.0,100.0,140.0,200.0,280.0,400.0","95495976,1645892,1943438451,886460638,485157537,2034320122,2695126311,1302334572,2706469532,3240269939,3604113265,2705270350,2018740666,1127990759,3330731846,3187431012,1521839180,1686047567,1330975008,934650615,795544504,3425329025,1770730959,3014328358,3541549123,538501519,2632391460,1293863369,2212427354,769037890,218169367,4235358679,1473407425,3245767482,1451491780,920109546,2510192967,4275455573,3124032684,4190970238,1334294423,598458671,566407799,2569333524,1270311530,1699186169,2615808323,655417756,1554401196,2058582180,637068712,2854864588,3163175769,1762481346,2721953699,992132921,1261972392,2848423158,1311278153,2148724901,3497461887,1733136825,3378831739,3363964412,1520174854,3067135213,3130723262,1904750959,4153840764,3047185378,3763478564,198055628,900653673,1850113415,4059674294,2466763930,363498851,2676865360,3354777811,952212597","128,64,32,16,8,4,2,1","100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000"
